year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,164300,197903,-31701,-33603,-17,-17,85
2011,231080,140800,90000,90280,70,64,284
2011,64660,121900,-54000,-57240,-47,-47,80
2011,212000,195016,22713,16984,13,9,252
2011,132886,225492,-87364,-92606,-41,-41,14
2011,177550,79200,95500,98350,133,124,133
2011,159000,215973,-46339,-56973,-24,-26,191
2011,286200,323400,-24000,-37200,-8,-12,120
2011,281907,71500,200950,210407,309,294,234
2011,246874,242550,12400,4324,6,2,190
2011,372802,254650,120200,118152,52,46,259
2011,113102,130900,-12300,-17798,-10,-14,187
2011,112360,183460,-67075,-71100,-39,-39,62
2011,149460,111300,36000,38160,34,34,80
2011,270300,372627,-83752,-102327,-25,-27,281
2011,190006,234850,-34249,-44844,-16,-19,267
2011,132765,159500,-19750,-26735,-14,-17,189
2011,121794,238149,-101599,-116355,-47,-49,253
2011,355100,410300,-38000,-55200,-10,-13,148
2011,334960,382328,-31571,-47368,-9,-12,334
2011,434600,1,409999,434599,40999900,39508991,194
2011,148612,311047,-142570,-162435,-50,-52,148
2011,64660,130680,-57800,-66020,-49,-51,181
2011,100700,187419,-75381,-86719,-44,-46,183
2011,87450,11,82490,87439,824900,824900,51
2011,221010,169600,48500,51410,30,30,20
2011,159000,240936,-69033,-81936,-32,-34,214
2011,241574,399950,-135691,-158376,-37,-40,168
2011,86258,183698,-85623,-97440,-51,-53,285
2011,26500,49500,-20000,-23000,-44,-46,119
2011,205428,204600,7800,828,4,0,305
2011,365700,330000,45000,35700,15,11,242
2011,180200,270230,-84934,-90030,-33,-33,74
2011,312700,99000,205000,213700,228,216,257
2011,136740,213873,-65430,-77133,-34,-36,230
2011,249100,183150,68500,65950,41,36,188
2011,11,216029,-203791,-216018,-100,-100,71
2011,147340,241098,-80180,-93758,-37,-39,304
2011,170660,258500,-74000,-87840,-31,-34,205
2011,124656,238180,-98927,-113524,-46,-48,221
2011,60950,141183,-70848,-80233,-55,-57,301
2011,313760,325600,0,-11840,0,-4,100
2011,166420,280366,-97878,-113946,-38,-41,304
2011,212542,180200,30511,32342,18,18,66
2011,207586,234748,-17571,-27162,-8,-12,156
2011,54060,78736,-20578,-24676,-29,-31,154
2011,355100,395372,-24429,-40272,-7,-10,198
2011,153700,147340,6000,6360,4,4,69
2011,169600,180846,-4405,-11246,-3,-6,91
2011,144690,263311,-102874,-118621,-43,-45,219
2011,37842,116053,-69803,-78211,-66,-67,194
2011,177550,201419,-15608,-23869,-9,-12,107
